job,count
journalier,313
"veuve', 'rentière",274
rentière,257
rentier,201
commis,195
agriculteur,194
couturière,185
"veuve', 'ménagère",173
employé,138
cordonnier,130
menuisier,128
ménagère,115
veuve,110
tanneur,102
jardinier,101
rent,94
"veuve', 'rent",87
serrurier,85
tailleuse,81
tailleur,81
étudiant,80
institutrice,74
cafetier,71
maçon,69
typographe,66
gypsier,65
vigneron,65
agricult,65
journalière,63
comptable,62
"veuve', 'journalière",62
domestique,60
blanchisseuse,60
charpentier,56
cocher,53
"veuve', 'ménag",52
fermier,48
lingère,47
repasseuse,46
professeur,45
"veuve', 'couturière",44
négociant,43
mécanicien,41
journal,41
demoiselle de magasin,36
demoiselle,33
employé postal,33
m. cordonnier,33
charretier,32
pensionnaire,31
